label|text
1|Selamat Anda mendapatkan uang 1 Miliar dari undian berhadiah klik link bit.ly/menang-hadiah
1|Pinjaman online cair 5 menit tanpa jaminan bunga 0% hubungi WA 0812345678
1|Promo diskon 99% semua barang elektronik hanya hari ini di shop-murah.com
1|Akun bank anda terindikasi dibobol segera verifikasi data anda di link bit.ly/ceksaldo
1|Dapatkan modal gratis 100rb tanpa deposit sekarang juga daftar di sini
1|Uang tunai 1 Miliar menunggu Anda ambil hadiahnya sekarang juga sebelum hangus
1|Menang undian kejutan akhir tahun 50 juta rupiah klik di sini sekarang
1|Info resmi: Akun Dana Anda dibekukan, segera aktivasi ulang di link dana-pulihkan.com
1|Paket Anda tertahan karena alamat tidak lengkap. Klik link ini untuk update alamat: kurir-cek.id
1|Undangan Pernikahan Digital Kami. Silakan download filenya di sini: undangan_nikah.apk
1|Tagihan listrik Anda menunggak 2 bulan. Segera lunasi agar tidak diputus: pln-bayar.com
1|Hai kak, ini foto produk yang kakak pesan kemarin ya. Download file: detail_pesanan.apk
1|Kerja paruh waktu gaji 2jt/hari. Tugas hanya like video youtube. Daftar: bit.ly/kerja-mudah
1|Selamat nomor Anda mendapatkan bonus pulsa 100rb. Ketik *123*456# sekarang!
1|Yth. Nasabah, demi keamanan silakan ganti password m-banking Anda di: bank-secure.net
1|Anda mendapatkan bantuan sosial pemerintah sebesar 2,4jt. Cek nama Anda: bansos-cek.go.id
1|Cashback 100% khusus pengguna baru! Belanja apa saja gratis. Klik link ini sekarang.
1|Butuh dana talangan cepat tanpa jaminan? Cair hari ini juga proses 2 menit.
1|Peringatan Keamanan: Seseorang mencoba login ke akun Anda. Jika bukan Anda, klik: aman-akun.com
0|Halo bro apa kabar? Jadi kumpul main bola sore ini di lapangan?
0|Terima kasih sudah melakukan pembayaran barang akan segera dikirim sore ini
0|Jangan lupa bawa dokumen rapat besok pagi ya di kantor lantai dua
0|Selamat ulang tahun ya semoga panjang umur dan sukses selalu buat kamu
0|Bisa minta tolong kirimkan foto catatan kuliah yang kemarin saya pinjam?
0|Jadwal rapat hari ini diundur ke jam 2 siang di ruang pertemuan utama
0|Terima kasih atas bantuannya tadi sangat bermanfaat sekali untuk saya
0|Pak, laporan bulanannya sudah saya taruh di meja ya. Silakan dicek.
0|Besok ada acara makan-makan di rumah, kamu datang ya jam 7 malam.
0|Maaf tadi tidak angkat telepon, saya lagi di motor. Ada apa ya?
0|Tolong titip beli kopi satu ya, nanti uangnya saya ganti di kantor.
0|Info dari dosen: kuliah jam pertama kosong, tugas dikumpul via email saja.
0|Ibu bilang nanti malam pulang agak telat, kamu makan duluan saja di rumah.
0|Apakah besok kita jadi berangkat bareng ke kampus naik motor?
0|Terima kasih informasinya, nanti saya kabari lagi kelanjutannya bagaimana.
0|Halo kak, barangnya sudah sampai ya. Barangnya bagus sekali, terima kasih!